Parking_texto|Parking|Parking_gratis_texto|Parking_gratis|Gimnasio_texto|Gimnasio|Restaurante_texto|Restaurante|Piscina_texto|Piscina|Piscina_interior_texto|Piscina_interior|Aire_texto|Aire|Calefaccion_texto|Calefaccion|Vistas_texto|Vistas|Terraza_texto|Terraza|Baño_privado_texto|Baño_privado
parking privado|True|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas a la piscina|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|False|False|vistas al río|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al río|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a un lugar de interés|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|piscina privada|True|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|False|False
False|False|False|False|False|False|False|False|piscina al aire libre|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la ciudad|True|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a la montaña|True|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas a un lugar de interés|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|gimnasio|True|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al mar|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al río|True|terraza|True|False|False
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|False|False|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas a un lugar de interés|True|terraza|True|baño privado|True
parking privado|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking privado|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|balcón|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas a un lugar de interés|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|False|False|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|False|False|False|False|vistas al jardín|True|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al río|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|vistas a la montaña|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|piscina al aire libre|True|False|False|False|False|heating|True|vistas al lago|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|False|False|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al río|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas a la ciudad|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|vistas a un lugar de interés|True|False|False|bath or shower|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|vistas al jardín|True|terraza|True|False|False
False|False|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|vistas al jardín|True|False|False|baño privado|True
parking privado|True|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a un patio interior|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking privado|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|False|False|False|False|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|vistas a un lugar de interés|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al río|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a un lugar de interés|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la montaña|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas al mar|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la montaña|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|vistas|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|balcón|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la montaña|True|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas a un lugar de interés|True|balcón|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al río|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|vistas a la montaña|True|balcón|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|vistas a un patio interior|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la ciudad|True|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño privado|True
parking privado|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|False|False|False|False|False|False|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|vistas a la montaña|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas a la montaña|True|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al lago|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|terraza|True|bath or shower|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|False|False|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking en un garaje|True|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a un patio interior|True|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al mar|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|terraza|True|False|False
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|piscina interior|True|aire acondicionado|True|False|False|vistas|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al río|True|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|False|False
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|False|False|vistas al río|True|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a un lugar de interés|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|vistas|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|False|False|terraza|True|False|False
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al río|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas a la piscina|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|balcón|True|bath or shower|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al río|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|balcón|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas al río|True|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|balcón|True|bath or shower|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño privado|True
parking privado|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking privado|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la ciudad|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina infantil|True|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|vistas al jardín|True|False|False|bath or shower|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|False|False|False|False|False|False
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|vistas a la montaña|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas al jardín|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas al jardín|True|terraza|True|bath or shower|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|False|False|vistas a la ciudad|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|vistas|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño en la habitación|True
parking privado|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|False|False|vistas a la montaña|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|bath or shower|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al río|True|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|False|False|heating|True|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a la ciudad|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|restaurante|True|piscina al aire libre|True|False|False|False|False|False|False|vistas a la montaña|True|False|False|baño privado|True
parking privado|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas|True|terraza|True|False|False
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|False|False|False|False|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas a la montaña|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|individual_air_conditioning|True|False|False|vistas a un patio interior|True|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a la ciudad|True|balcón|True|bath or shower|True
parking gratis|True|parking gratis|True|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al río|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|vistas|True|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|individual_air_conditioning|True|heating|True|vistas al lago|True|terraza|True|baño en la habitación|True
